facts_summary,case_category,likely_outcome,source_file,source_prefix,date_lecture,type_decision,type_recours,solution,text_length
"Mme A a demandé au tribunal administratif de Lyon, d'une part, d'annuler pour excès de pouvoir le rapport d'inspection du 3 décembre 2015, la décision du 18 décembre 2015 par laquelle le proviseur du lycée du Parc a modifié ses enseignements à compter du 4 janvier 2016 et les décisions des 12 février et 18 mars 2016 par lesquelles la rectrice de l'académie de Lyon a rejeté ses recours hiérarchiques, d'autre part, de condamner l'Etat au versement de la somme de 8 000 euros en réparation des préjudices qu'elle estime avoir subis du fait de l'illégalité de ces décisions. Par un jugement n° 1602263 du 21 mars 2018, le tribunal administratif a rejeté ses demandes. Par un arrêt n° 18LY01882 du 30 janvier 2020, la cour administrative d'appel de Lyon, annulant partiellement ce jugement, a annulé la décision du 18 décembre 2015 ainsi que les décisions des 12 février et 18 mars 2016 et rejeté le surplus des conclusions de l'appel de Mme A. Par un pourvoi, enregistré le 22 mai 2020 au secrétariat du contentieux du Conseil d'Etat, le ministre de l'éducation nationale et de la jeunesse demande au Conseil d'Etat : 1°) d'annuler les articles 1er à 3 de cet arrêt ; 2°) réglant l'affaire au fond dans cette mesure, de rejeter l'appel de Mme A.",plein_contentieux,renvoi,DCE_440778_20220620.xml,DCE,2022-06-20,Décision,Plein contentieux,Renvoi après cassation,9088
"L'association Erquy environnement et Habitat, M. et Mme D B, E A et F C ont demandé au tribunal administratif de Rennes d'annuler pour excès de pouvoir l'arrêté du 8 avril 2016 par lequel le maire d'Erquy a délivré à la société SPI un permis d'aménager un lotissement de 31 lots et au maximum de 40 lots pour la construction de maisons individuelles et, accessoirement, l'accueil d'activités libérales, sur un terrain situé rue de la Corniche. Par un jugement n° 1602682 du 15 mars 2019, le tribunal administratif de Rennes a rejeté leur demande. Par un arrêt n° 19NT01840 du 30 mars 2020, la cour administrative d'appel de Nantes a rejeté leur appel dirigé contre ce jugement. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 28 mai et 26 août 2020, au secrétariat du contentieux du Conseil d'Etat, l'association Erquy environnement et Habitat et M. et Mme B demandent au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) de mettre à la charge de la commune d'Erquy la somme de 4 000 euros au titre de l'article L. 761-1 du code de justice administrative.",exces_de_pouvoir,defavorable_requerant,DCE_440917_20220601.xml,DCE,2022-06-01,Décision,Excès de pouvoir,Rejet,8639
"1° Sous le numéro 441056, par une requête sommaire et trois nouveaux mémoires, enregistrés les 5 juin et 4 septembre 2020, 24 août 2021 et 4 mars 2022 au secrétariat du contentieux du Conseil d'État, l'Association des chercheurs et enseignants didacticiens des langues étrangères, l'Association pour le développement de l'enseignement de l'allemand en France, l'Association française d'études américaines, l'Association française de linguistique appliquée, l'Association francophonie avenir, l'Association des germanistes de l'enseignement supérieur, l'Association des professeurs de langues en instituts universitaires et technologiques, l'Association pour la recherche en didactique de l'anglais de spécialité, la Fédération nationale des associations étudiantes linguistes, le Groupe d'étude et de recherche en anglais spécialité, le Groupe d'études et de recherche en espagnol de spécialité, l'Observatoire européen du plurilinguisme, le Rassemblement national des centres de langues de l'enseignement supérieur, la Société des anglicistes de l'enseignement supérieur et la Société des italianistes de l'enseignement supérieur demandent au Conseil d'Etat : 1°) d'annuler pour excès de pouvoir le décret n° 2020-398 du 3 avril 2020 relatif à la certification en langue anglaise pour les candidats à l'examen du brevet de technicien supérieur et modifiant le code de l'éducation et l'arrêté de la ministre de l'enseignement supérieur, de la recherche et de l'innovation du 3 avril 2020 relatif à la certification en langue anglaise pour les candidats inscrits aux diplômes nationaux de licence, de licence professionnelle et au diplôme universitaire de technologie ; 2°) de mettre à la charge de l'Etat la somme de 5 000 euros au titre de l'article L. 761-1 du code de justice administrative. 2° Sous le n° 441903, par une requête et un mémoire en réplique, enregistrés le 16 juillet 2020 et le 13 janvier 2021 au secrétariat du contentieux du Conseil d'État, la Fédération des langues régionales germaniques de France, l'association des élus pour la sauvegarde de la langue régionale en Alsace et en Moselle, l'association 57 - Le parti des Mosellans et l'Association pour le bilinguisme",exces_de_pouvoir,partiellement_favorable,DCE_441056_20220607.xml,DCE,2022-06-07,Décision,Excès de pouvoir,Satisfaction partielle,24633
"La société Ferme éolienne de Nueil-sous-Faye a demandé au tribunal administratif de Poitiers d'annuler, d'une part, la décision implicite du 23 octobre 2015 par laquelle le préfet de la Vienne a refusé de lui délivrer les permis de construire relatifs à un parc éolien composé de quatre éoliennes et d'un poste de livraison sur le territoire de la commune de Nueil-sous-Faye, et, d'autre part, l'arrêté du 2 décembre 2015 par lequel le préfet de la Vienne a refusé de lui délivrer l'autorisation d'exploiter ce parc. Par un premier jugement n° 1600197 du 29 novembre 2017, le tribunal administratif de Poitiers a annulé la décision implicite du 23 octobre 2015 et enjoint au préfet de la Vienne de délivrer à la société Ferme éolienne de Nueil-sous-Faye les permis de construire sollicités. Par un second jugement n° 1600199 du même jour, il a annulé l'arrêté du 2 décembre 2015 et délivré à la société Ferme éolienne de Nueil-sous-Faye l'autorisation d'exploiter demandée. Par un arrêt n° 18BX00294, 18BX00301, 18BX00369, 18BX00375 du 4 février 2020, la cour administrative d'appel de Bordeaux, saisie d'un appel dirigé contre chacun de ces jugements, d'une part, par l'association Apache et autres et, d'autre part, par M. M B, après avoir joint ces requêtes : - n'a pas admis les interventions présentées, d'une part, par la commune de Richelieu et plusieurs particuliers, et, d'autre part, par M. B au soutien de la requête de l'association Apache et autres dirigée contre le premier jugement n° 1600197 du 29 novembre 2017 ; - n'a pas admis l'intervention présentée par M. B au soutien de la requête de l'association Apache et autres dirigée contre le second jugement n° 1600199 ; - a rejeté les requêtes de l'association Apache et autres, d'une part, et de M. B, d'autre part, dirigées contre les deux jugements du tribunal administratif. 1° Sous le n° 441176, par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 12 juin et 11 septembre 2020 au secrétariat du contentieux du Conseil d'Etat, l'association Apache, M. K et Mme I D, M. L et Mme G S, M. R et Mme O T, M. E N, Mme U A, M. Q F, M. C J et Mme P H de la Valette demandent au Conseil d'Etat : 1°) d'annuler cet arrêt",exces_de_pouvoir,defavorable_requerant,DCE_441176_20220601.xml,DCE,2022-06-01,Décision,Excès de pouvoir,Rejet,25188
"La société de Lauture a demandé au tribunal administratif de Nantes d'annuler l'arrêté du préfet de la Mayenne du 16 décembre 2015 en tant qu'il fixe, en son article 9, la répartition des débits des deux microcentrales hydroélectriques installées sur le seuil de la Richardière, sur la Mayenne. Par un jugement n° 1601746 du 17 août 2018, le tribunal administratif de Nantes a rejeté sa demande. Par un arrêt n° 18NT03922 du 2 avril 2020, la cour administrative d'appel de Nantes a rejeté l'appel formé par la société de Lauture contre ce jugement. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 15 juin et 1er septembre 2020 au secrétariat du contentieux du Conseil d'Etat, la société de Lauture demande au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) réglant l'affaire au fond, de faire droit à son appel ; 3°) de mettre à la charge de l'Etat la somme de 4 500 euros au titre de l'article L. 761-1 du code de justice administrative.",exces_de_pouvoir,defavorable_requerant,DCE_441187_20220622.xml,DCE,2022-06-22,Décision,Excès de pouvoir,Rejet,13130
"Par une requête et un mémoire complémentaire, enregistrés les 23 juin et 23 septembre 2021 au secrétariat du contentieux du Conseil d'Etat, M. B demande au Conseil d'Etat : l°) d'annuler pour excès de pouvoir la décision du 11 juin 2019 par laquelle le Conseil national de l'ordre des médecins, statuant en formation restreinte, a prononcé une nouvelle suspension de son droit d'exercer la médecine pour une durée de trois ans, subordonnant la reprise de son activité professionnelle aux résultats d'une nouvelle expertise ; 2°) de mettre à la charge du Conseil national de l'ordre des médecins la somme de 3 500 euros à verser à son conseil, la SCP Hélène Didier et François Pinet, au titre des articles L. 761-1 du code de justice administrative et 37 de la loi du 10 juillet 1991.",exces_de_pouvoir,defavorable_requerant,DCE_441362_20220615.xml,DCE,2022-06-15,Décision,Excès de pouvoir,Rejet,8035
"M. A B a demandé au tribunal administratif de Cergy-Pontoise de faire droit à sa demande tendant à ce que des allocations d'aide au retour à l'emploi lui soient accordées pour la période comprise entre 2010 et 2016, alors que ces allocations lui avaient été refusées par une décision du 26 juin 2019 du maire de Gennevilliers. Par une ordonnance n° 1912454 du 26 novembre 2019, la présidente de la 3ème chambre du tribunal administratif de Cergy-Pontoise a rejeté sa demande. Par une ordonnance n° 20VE00031 du 28 février 2020, le président assesseur de la 5ème chambre de la cour administrative d'appel de Versailles a rejeté l'appel formé par M. B contre cette ordonnance. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 24 juin et 23 septembre 2020 au secrétariat du contentieux du Conseil d'Etat, M. B demande au Conseil d'Etat : 1°) d'annuler l'ordonnance du 28 février 2020 et l'ordonnance du 26 novembre 2019 ; 2°) de mettre à la charge de la commune de Gennevilliers la somme de 2 000 euros à verser à la SCP Buk Lament-Robillot au titre des articles 37 de la loi du 10 juillet 1991 et L. 761-1 du code de justice administrative.",plein_contentieux,renvoi,DCE_441393_20220621.xml,DCE,2022-06-21,Décision,Plein contentieux,Renvoi après cassation,6687
"M. A B a demandé au Conseil national de l'enseignement supérieur et de la recherche (CNESER), statuant en matière disciplinaire, d'ordonner, sur le fondement des dispositions de l'article R. 232-34 du code de l'éducation, qu'il soit sursis à l'exécution de la décision du 12 décembre 2019 par laquelle la section disciplinaire de l'Institut d'études politiques de Toulouse a prononcé à son encontre une mesure d'exclusion de l'établissement pour une durée de deux ans. Par une décision du 20 mai 2020, le Conseil national de l'enseignement supérieur et de la recherche, statuant en matière disciplinaire, a fait droit à cette demande et prononcé le sursis à exécution de cette décision. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 29 juin et 10 septembre 2020, au secrétariat du contentieux du Conseil d'Etat, l'Institut d'études politiques de Toulouse demande au Conseil d'Etat : 1°) d'annuler cette décision ; 2°) réglant l'affaire au fond, de rejeter la demande de sursis à exécution de M. B ; 3°) de mettre à la charge de l'Etat la somme de 2 000 euros au titre de l'article L. 761-1 du code de justice administrative.",plein_contentieux,renvoi,DCE_441516_20220615.xml,DCE,2022-06-15,Décision,Plein contentieux,Renvoi après cassation,8324
"Vu les autres pièces du dossier ; Vu : - le code de commerce ; - le code de l'urbanisme ; - la loi n° 2014-626 du 18 juin 2014 ; - le code de justice administrative ; Après avoir entendu en séance publique : - le rapport de Mme Françoise Tomé, conseillère d'Etat, - les conclusions de M. Raphaël Chambon, rapporteur public ; La parole ayant été donnée, après les conclusions, à la SCP Piwnica, Molinié, avocat de la société Laury-chalonges dis ; Considérant ce qui suit : 1. Il ressort des pièces du dossier soumis aux juges du fond que par une décision du 13 septembre 2018, la commission départementale d'aménagement commercial de la Loire-Atlantique a accordé à la société Laury-Chalonges Dis une autorisation d'exploitation commerciale en vue de l'extension de 1 450 m2 du magasin de 800 m2 qu'elle exploite sous l'enseigne "" Espace culturel E. Leclerc "" dans l'ensemble commercial "" Pôle Sud "", dont la surface totale est de 40 630 m2, situé sur le territoire de la commune de Basse-Goulaine. La Commission nationale d'aménagement commercial s'est saisie du projet sur le fondement des dispositions du V de l'article L. 752-1 du code de commerce et, par une décision du 20 décembre 2018, a refusé d'accorder l'autorisation sollicitée. Le ministre de l'économie, des finances et de la relance et la Commission nationale d'aménagement commercial se pourvoient en cassation contre l'arrêt du 13 mai 2020 par lequel la cour administrative d'appel de Nantes a annulé la décision du 20 décembre 2018. 2. Aux termes de l'article L 752-1 du code de commerce: "" Sont soumis à une autorisation d'exploitation commerciale les projets ayant pour objet : () / 5° L'extension de la surface de vente d'un ensemble commercial ayant déjà atteint le seuil des 1 000 mètres carrés ou devant le dépasser par la réalisation du projet ; ()"". Aux termes de l'article L 752-17 du même code : ""() / II.-Lorsque la réalisation du projet ne nécessite pas de permis de construire, les personnes mentionnées au premier alinéa du I peuvent, dans un délai d'un mois, introduire un recours contre la décision de la commission départementale d'aménagement commercial./. (). / III.-La commission départementale d'aménagement comm",exces_de_pouvoir,renvoi,DCE_441707_20220620.xml,DCE,2022-06-20,Décision,Excès de pouvoir,Renvoi après cassation,6342
"Par une décision du 15 décembre 2021, le Conseil d'Etat, statuant au contentieux, saisi de la requête de la Fédération des syndicats des travailleurs du rail - Sud Rail tendant, d'une part, à l'annulation de la décision implicite par laquelle le président de la société nationale SNCF a rejeté sa demande du 11 mars 2020, reçue le 13 mars 2020, tendant à l'abrogation du b) du § 2 des "" dispositions diverses "" de l'instruction RH00677 du 16 mars 2017 portant dispositions complémentaires à l'accord d'entreprise sur l'organisation du temps de travail du 14 juin 2016 et, d'autre part, à ce qu'il soit enjoint à la SNCF d'abroger ces dispositions dans un délai de deux semaines à compter de la notification de la décision à intervenir, sous astreinte de 1 000 euros par jour de retard, a sursis à statuer jusqu'à ce que le Tribunal des conflits ait tranché la question de savoir quel est l'ordre de juridiction compétent pour connaître de ce litige. Par une décision du 11 avril 2022, le Tribunal des conflits a déclaré la juridiction judiciaire seule compétente pour connaître du litige opposant la Fédération des syndicats des travailleurs du rail - Sud Rail à la société nationale SNCF.",exces_de_pouvoir,renvoi,DCE_441711_20220610.xml,DCE,2022-06-10,Décision,Excès de pouvoir,Renvoi incompétence,3977
"M. B A a demandé au tribunal administratif de Montreuil d'annuler pour excès de pouvoir l'arrêté du 5 février 2019 par lequel le préfet de la Seine-Saint-Denis lui a fait obligation de quitter le territoire français sans délai, en assortissant cette obligation d'une interdiction de retour sur le territoire français pendant une durée de deux ans à compter de l'exécution de la décision qui accompagne cette mesure et l'a signalé aux fins de non-admission dans le système d'information Schengen pour la durée de cette interdiction de retour. Par un jugement n° 1901349 du 10 avril 2019, la magistrate désignée par le président de ce tribunal a rejeté sa demande. Par un arrêt n° 19VE01408 du 4 février 2020, la cour administrative d'appel de Versailles a rejeté l'appel formé par M. A contre ce jugement. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 10 juillet et 6 octobre 2020 au secrétariat du contentieux du Conseil d'Etat, M. A demande au Conseil d'Etat : 1°) d'annuler l'arrêt du 4 février 2020 ; 2°) réglant l'affaire au fond, de faire droit à son appel ; 3°) de mettre à la charge de l'Etat la somme de 3 000 euros au titre de l'article L. 761-1 du code de justice administrative.",exces_de_pouvoir,defavorable_requerant,DCE_441736_20220601.xml,DCE,2022-06-01,Décision,Excès de pouvoir,Rejet,10569
